step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	-0.500000	[-0.5]	1.477824	0.000000	0	0
2	0.000000	-0.500000	[-0.5]	1.477824	0.000000	0	0
3	1.000000	-0.500000	[-0.5]	1.477824	1.000000	0	0
4	0.000000	0.184811	[0.1848110556602478]	1.477824	1.000000	0	0
5	0.000000	0.500000	[0.5]	1.477824	1.000000	0	0
6	0.000000	-0.066966	[-0.06696617603302002]	1.477824	1.000000	0	0
7	0.000000	-0.210279	[-0.2102794647216797]	1.477824	1.000000	0	0
8	3.000000	-0.425813	[-0.42581313848495483]	1.477824	4.000000	0	0
9	0.000000	-0.500000	[-0.5]	1.477824	4.000000	0	0
10	1.000000	-0.500000	[-0.5]	1.477824	5.000000	0	0
11	10.000000	-0.500000	[-0.5]	1.477824	15.000000	0	0
12	15.000000	-0.500000	[-0.5]	1.477824	30.000000	0	0
13	0.000000	-0.500000	[-0.5]	1.477824	30.000000	0	0
14	3.000000	-0.500000	[-0.5]	1.477824	33.000000	0	0
15	0.000000	-0.500000	[-0.5]	1.477824	33.000000	0	0
16	0.000000	0.190827	[0.19082731008529663]	1.477824	33.000000	0	0
17	6.000000	-0.500000	[-0.5]	1.477824	39.000000	0	0
18	7.000000	-0.500000	[-0.5]	1.477824	46.000000	0	0
19	0.000000	-0.500000	[-0.5]	1.477824	46.000000	0	0
20	10.000000	0.500000	[0.5]	1.477824	56.000000	0	0
21	61.000000	-0.482636	[-0.4826362431049347]	1.477824	117.000000	0	0
22	6.000000	-0.393133	[-0.39313292503356934]	1.477824	123.000000	0	0
23	10.000000	-0.500000	[-0.5]	1.477824	133.000000	0	0
24	3.000000	-0.110354	[-0.11035352945327759]	1.477824	136.000000	0	0
25	6.000000	-0.500000	[-0.5]	1.477824	142.000000	0	0
26	0.000000	-0.500000	[-0.5]	1.477824	142.000000	0	0
27	31.000000	0.500000	[0.5]	1.477824	173.000000	0	0
28	0.000000	0.500000	[0.5]	1.477824	173.000000	0	0
29	0.000000	0.500000	[0.5]	1.477824	173.000000	0	0
30	0.000000	-0.500000	[-0.5]	1.477824	173.000000	0	0
31	0.000000	-0.500000	[-0.5]	1.477824	173.000000	0	0
32	0.000000	-0.137982	[-0.13798195123672485]	1.477824	173.000000	0	0
33	0.000000	-0.309924	[-0.30992424488067627]	1.477824	173.000000	0	0
34	0.000000	-0.500000	[-0.5]	1.477824	173.000000	0	0
35	0.000000	-0.500000	[-0.5]	1.477824	173.000000	0	0
36	16.000000	-0.500000	[-0.5]	1.477824	189.000000	0	0
37	39.000000	-0.500000	[-0.5]	1.477824	228.000000	0	0
38	29.000000	-0.500000	[-0.5]	1.477824	257.000000	0	0
39	16.000000	0.500000	[0.5]	1.477824	273.000000	0	0
40	36.000000	0.500000	[0.5]	1.477824	309.000000	0	0
41	15.000000	0.500000	[0.5]	1.477824	324.000000	0	0
42	0.000000	0.500000	[0.5]	1.477824	324.000000	0	0
43	0.000000	-0.500000	[-0.5]	1.477824	324.000000	0	0
44	0.000000	0.069485	[0.0694846510887146]	1.477824	324.000000	0	0
45	0.000000	-0.500000	[-0.5]	1.477824	324.000000	0	0
46	0.000000	0.239920	[0.23992007970809937]	1.477824	324.000000	0	0
47	6.000000	-0.500000	[-0.5]	1.477824	330.000000	0	0
48	0.000000	-0.500000	[-0.5]	1.477824	330.000000	0	0
49	25.000000	-0.500000	[-0.5]	1.477824	355.000000	0	0
50	19.000000	-0.500000	[-0.5]	1.477824	374.000000	0	0
51	15.000000	-0.500000	[-0.5]	1.477824	389.000000	0	0
52	0.000000	-0.500000	[-0.5]	1.477824	389.000000	0	0
53	0.000000	-0.500000	[-0.5]	1.477824	389.000000	0	0
54	0.000000	-0.070816	[-0.07081562280654907]	1.477824	389.000000	0	0
