step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	0.500000	[0.5]	1.697366	0.000000	0	0
2	0.000000	0.500000	[0.5]	1.697366	0.000000	0	0
3	1.000000	0.500000	[0.5]	1.697366	1.000000	0	0
4	0.000000	0.500000	[0.5]	1.697366	1.000000	0	0
5	0.000000	0.500000	[0.5]	1.697366	1.000000	0	0
6	10.000000	0.500000	[0.5]	1.697366	11.000000	0	0
7	0.000000	0.500000	[0.5]	1.697366	11.000000	0	0
8	0.000000	0.500000	[0.5]	1.697366	11.000000	0	0
9	0.000000	0.500000	[0.5]	1.697366	11.000000	0	0
10	0.000000	0.500000	[0.5]	1.697366	11.000000	0	0
11	0.000000	0.500000	[0.5]	1.697366	11.000000	0	0
12	0.000000	0.500000	[0.5]	1.697366	11.000000	0	0
13	15.000000	-0.500000	[-0.5]	1.697366	26.000000	0	0
14	0.000000	0.500000	[0.5]	1.697366	26.000000	0	0
15	10.000000	-0.500000	[-0.5]	1.697366	36.000000	0	0
16	15.000000	0.500000	[0.5]	1.697366	51.000000	0	0
17	0.000000	0.500000	[0.5]	1.697366	51.000000	0	0
18	21.000000	0.500000	[0.5]	1.697366	72.000000	0	0
19	15.000000	0.138930	[0.138930082321167]	1.697366	87.000000	0	0
20	46.000000	0.500000	[0.5]	1.697366	133.000000	0	0
21	0.000000	0.500000	[0.5]	1.697366	133.000000	0	0
22	0.000000	0.500000	[0.5]	1.697366	133.000000	0	0
23	0.000000	0.500000	[0.5]	1.697366	133.000000	0	0
24	25.000000	0.500000	[0.5]	1.697366	158.000000	0	0
25	0.000000	-0.452902	[-0.45290160179138184]	1.697366	158.000000	0	0
26	0.000000	0.500000	[0.5]	1.697366	158.000000	0	0
27	0.000000	0.500000	[0.5]	1.697366	158.000000	0	0
28	64.000000	0.500000	[0.5]	1.697366	222.000000	0	0
29	0.000000	0.500000	[0.5]	1.697366	222.000000	0	0
30	10.000000	0.500000	[0.5]	1.697366	232.000000	0	0
31	15.000000	0.500000	[0.5]	1.697366	247.000000	0	0
32	0.000000	0.500000	[0.5]	1.697366	247.000000	0	0
33	0.000000	0.500000	[0.5]	1.697366	247.000000	0	0
34	0.000000	-0.500000	[-0.5]	1.697366	247.000000	0	0
35	0.000000	0.500000	[0.5]	1.697366	247.000000	0	0
36	0.000000	0.500000	[0.5]	1.697366	247.000000	0	0
37	0.000000	0.500000	[0.5]	1.697366	247.000000	0	0
38	0.000000	0.500000	[0.5]	1.697366	247.000000	0	0
39	55.000000	0.500000	[0.5]	1.697366	302.000000	0	0
40	0.000000	0.500000	[0.5]	1.697366	302.000000	0	0
41	0.000000	0.500000	[0.5]	1.697366	302.000000	0	0
42	0.000000	0.500000	[0.5]	1.697366	302.000000	0	0
43	0.000000	0.155160	[0.15516042709350586]	1.697366	302.000000	0	0
44	15.000000	0.500000	[0.5]	1.697366	317.000000	0	0
45	6.000000	0.500000	[0.5]	1.697366	323.000000	0	0
46	25.000000	0.500000	[0.5]	1.697366	348.000000	0	0
47	92.000000	0.500000	[0.5]	1.697366	440.000000	0	0
48	6.000000	0.500000	[0.5]	1.697366	446.000000	0	0
49	0.000000	0.300908	[0.3009077310562134]	1.697366	446.000000	0	0
50	0.000000	0.500000	[0.5]	1.697366	446.000000	0	0
51	6.000000	-0.393912	[-0.39391207695007324]	1.697366	452.000000	0	0
52	0.000000	0.500000	[0.5]	1.697366	452.000000	0	0
53	0.000000	0.461029	[0.4610285758972168]	1.697366	452.000000	0	0
54	0.000000	0.500000	[0.5]	1.697366	452.000000	0	0
55	0.000000	0.500000	[0.5]	1.697366	452.000000	0	0
56	34.000000	0.500000	[0.5]	1.697366	486.000000	0	0
57	0.000000	0.500000	[0.5]	1.697366	486.000000	0	0
58	1.000000	0.500000	[0.5]	1.697366	487.000000	0	0
59	0.000000	0.273428	[0.27342820167541504]	1.697366	487.000000	0	0
60	0.000000	0.500000	[0.5]	1.697366	487.000000	0	0
61	0.000000	0.500000	[0.5]	1.697366	487.000000	0	0
62	0.000000	0.500000	[0.5]	1.697366	487.000000	0	0
