step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	0.500000	[0.5]	2.515495	0.000000	0	0
2	0.000000	0.500000	[0.5]	2.515495	0.000000	0	0
3	1.000000	0.500000	[0.5]	2.515495	1.000000	0	0
4	0.000000	0.500000	[0.5]	2.515495	1.000000	0	0
5	3.000000	0.500000	[0.5]	2.515495	4.000000	0	0
6	0.000000	0.500000	[0.5]	2.515495	4.000000	0	0
7	0.000000	0.500000	[0.5]	2.515495	4.000000	0	0
8	1.000000	0.500000	[0.5]	2.515495	5.000000	0	0
9	0.000000	0.500000	[0.5]	2.515495	5.000000	0	0
10	16.000000	0.500000	[0.5]	2.515495	21.000000	0	0
11	0.000000	0.500000	[0.5]	2.515495	21.000000	0	0
12	0.000000	0.500000	[0.5]	2.515495	21.000000	0	0
13	0.000000	-0.500000	[-0.5]	2.515495	21.000000	0	0
14	0.000000	0.500000	[0.5]	2.515495	21.000000	0	0
15	0.000000	-0.212551	[-0.21255111694335938]	2.515495	21.000000	0	0
16	15.000000	0.500000	[0.5]	2.515495	36.000000	0	0
17	0.000000	0.500000	[0.5]	2.515495	36.000000	0	0
18	0.000000	0.500000	[0.5]	2.515495	36.000000	0	0
19	1.000000	0.500000	[0.5]	2.515495	37.000000	0	0
20	15.000000	0.500000	[0.5]	2.515495	52.000000	0	0
21	3.000000	0.500000	[0.5]	2.515495	55.000000	0	0
22	0.000000	0.500000	[0.5]	2.515495	55.000000	0	0
23	0.000000	0.500000	[0.5]	2.515495	55.000000	0	0
24	52.000000	0.500000	[0.5]	2.515495	107.000000	0	0
25	3.000000	0.500000	[0.5]	2.515495	110.000000	0	0
26	0.000000	0.500000	[0.5]	2.515495	110.000000	0	0
27	0.000000	0.500000	[0.5]	2.515495	110.000000	0	0
28	0.000000	0.500000	[0.5]	2.515495	110.000000	0	0
29	0.000000	0.500000	[0.5]	2.515495	110.000000	0	0
30	31.000000	0.500000	[0.5]	2.515495	141.000000	0	0
31	0.000000	0.500000	[0.5]	2.515495	141.000000	0	0
32	3.000000	0.500000	[0.5]	2.515495	144.000000	0	0
33	0.000000	0.500000	[0.5]	2.515495	144.000000	0	0
34	0.000000	0.500000	[0.5]	2.515495	144.000000	0	0
35	6.000000	0.500000	[0.5]	2.515495	150.000000	0	0
36	10.000000	0.500000	[0.5]	2.515495	160.000000	0	0
37	0.000000	0.500000	[0.5]	2.515495	160.000000	0	0
38	74.000000	0.500000	[0.5]	2.515495	234.000000	0	0
39	0.000000	0.500000	[0.5]	2.515495	234.000000	0	0
40	1.000000	0.500000	[0.5]	2.515495	235.000000	0	0
41	0.000000	0.500000	[0.5]	2.515495	235.000000	0	0
42	15.000000	0.500000	[0.5]	2.515495	250.000000	0	0
43	16.000000	0.500000	[0.5]	2.515495	266.000000	0	0
44	0.000000	0.500000	[0.5]	2.515495	266.000000	0	0
45	0.000000	0.500000	[0.5]	2.515495	266.000000	0	0
46	0.000000	0.500000	[0.5]	2.515495	266.000000	0	0
47	16.000000	0.500000	[0.5]	2.515495	282.000000	0	0
48	15.000000	0.500000	[0.5]	2.515495	297.000000	0	0
49	0.000000	0.500000	[0.5]	2.515495	297.000000	0	0
50	0.000000	0.500000	[0.5]	2.515495	297.000000	0	0
51	0.000000	0.500000	[0.5]	2.515495	297.000000	0	0
52	21.000000	0.500000	[0.5]	2.515495	318.000000	0	0
53	0.000000	0.500000	[0.5]	2.515495	318.000000	0	0
54	10.000000	0.500000	[0.5]	2.515495	328.000000	0	0
55	25.000000	0.500000	[0.5]	2.515495	353.000000	0	0
56	46.000000	0.500000	[0.5]	2.515495	399.000000	0	0
57	10.000000	0.500000	[0.5]	2.515495	409.000000	0	0
58	0.000000	0.500000	[0.5]	2.515495	409.000000	0	0
59	0.000000	0.500000	[0.5]	2.515495	409.000000	0	0
60	3.000000	0.500000	[0.5]	2.515495	412.000000	0	0
61	116.000000	0.500000	[0.5]	2.515495	528.000000	0	0
62	0.000000	0.500000	[0.5]	2.515495	528.000000	0	0
63	0.000000	0.500000	[0.5]	2.515495	528.000000	0	0
64	15.000000	0.500000	[0.5]	2.515495	543.000000	0	0
65	0.000000	0.500000	[0.5]	2.515495	543.000000	0	0
66	0.000000	0.500000	[0.5]	2.515495	543.000000	0	0
67	0.000000	0.500000	[0.5]	2.515495	543.000000	0	0
68	0.000000	0.500000	[0.5]	2.515495	543.000000	0	0
69	1.000000	0.500000	[0.5]	2.515495	544.000000	0	0
70	0.000000	0.500000	[0.5]	2.515495	544.000000	0	0
71	9.000000	0.500000	[0.5]	2.515495	553.000000	0	0
72	0.000000	0.500000	[0.5]	2.515495	553.000000	0	0
73	15.000000	0.500000	[0.5]	2.515495	568.000000	0	0
74	1.000000	0.500000	[0.5]	2.515495	569.000000	0	0
75	13.000000	0.500000	[0.5]	2.515495	582.000000	0	0
76	6.000000	0.500000	[0.5]	2.515495	588.000000	0	0
77	36.000000	0.500000	[0.5]	2.515495	624.000000	0	0
78	0.000000	0.500000	[0.5]	2.515495	624.000000	0	0
79	10.000000	0.500000	[0.5]	2.515495	634.000000	0	0
80	36.000000	0.500000	[0.5]	2.515495	670.000000	0	0
81	0.000000	0.500000	[0.5]	2.515495	670.000000	0	0
82	0.000000	0.500000	[0.5]	2.515495	670.000000	0	0
83	10.000000	0.500000	[0.5]	2.515495	680.000000	0	0
84	15.000000	0.500000	[0.5]	2.515495	695.000000	0	0
85	0.000000	0.500000	[0.5]	2.515495	695.000000	0	0
86	0.000000	0.500000	[0.5]	2.515495	695.000000	0	0
87	0.000000	0.500000	[0.5]	2.515495	695.000000	0	0
88	3.000000	0.500000	[0.5]	2.515495	698.000000	0	0
