step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	-0.437660	[-0.43765994906425476]	1.344738	0.000000	0	0
2	0.000000	-0.500000	[-0.5]	1.344738	0.000000	0	0
3	1.000000	-0.233348	[-0.23334839940071106]	1.344738	1.000000	0	0
4	0.000000	0.500000	[0.5]	1.344738	1.000000	0	0
5	0.000000	0.500000	[0.5]	1.344738	1.000000	0	0
6	0.000000	0.420461	[0.42046117782592773]	1.344738	1.000000	0	0
7	10.000000	0.290054	[0.2900540232658386]	1.344738	11.000000	0	0
8	0.000000	0.093930	[0.09393033385276794]	1.344738	11.000000	0	0
9	0.000000	-0.353244	[-0.3532443642616272]	1.344738	11.000000	0	0
10	15.000000	-0.500000	[-0.5]	1.344738	26.000000	0	0
11	0.000000	-0.106285	[-0.1062849760055542]	1.344738	26.000000	0	0
12	0.000000	-0.500000	[-0.5]	1.344738	26.000000	0	0
13	10.000000	-0.500000	[-0.5]	1.344738	36.000000	0	0
14	39.000000	-0.500000	[-0.5]	1.344738	75.000000	0	0
15	0.000000	-0.500000	[-0.5]	1.344738	75.000000	0	0
16	0.000000	0.500000	[0.5]	1.344738	75.000000	0	0
17	0.000000	-0.500000	[-0.5]	1.344738	75.000000	0	0
18	0.000000	-0.360157	[-0.3601570129394531]	1.344738	75.000000	0	0
19	3.000000	-0.500000	[-0.5]	1.344738	78.000000	0	0
20	1.000000	0.500000	[0.5]	1.344738	79.000000	0	0
21	0.000000	0.042224	[0.04222443699836731]	1.344738	79.000000	0	0
22	0.000000	0.123667	[0.12366747856140137]	1.344738	79.000000	0	0
23	6.000000	-0.385278	[-0.38527798652648926]	1.344738	85.000000	0	0
24	31.000000	0.380981	[0.38098108768463135]	1.344738	116.000000	0	0
25	0.000000	-0.500000	[-0.5]	1.344738	116.000000	0	0
26	3.000000	-0.295176	[-0.2951756715774536]	1.344738	119.000000	0	0
27	0.000000	0.500000	[0.5]	1.344738	119.000000	0	0
28	0.000000	0.500000	[0.5]	1.344738	119.000000	0	0
29	0.000000	0.500000	[0.5]	1.344738	119.000000	0	0
30	0.000000	-0.093929	[-0.09392917156219482]	1.344738	119.000000	0	0
31	0.000000	0.016404	[0.016404300928115845]	1.344738	119.000000	0	0
32	0.000000	0.355841	[0.3558407425880432]	1.344738	119.000000	0	0
33	0.000000	0.199383	[0.19938278198242188]	1.344738	119.000000	0	0
34	0.000000	-0.500000	[-0.5]	1.344738	119.000000	0	0
35	36.000000	-0.500000	[-0.5]	1.344738	155.000000	0	0
36	0.000000	-0.500000	[-0.5]	1.344738	155.000000	0	0
37	0.000000	-0.326947	[-0.3269474506378174]	1.344738	155.000000	0	0
38	0.000000	-0.500000	[-0.5]	1.344738	155.000000	0	0
39	79.000000	0.500000	[0.5]	1.344738	234.000000	0	0
40	4.000000	0.500000	[0.5]	1.344738	238.000000	0	0
41	15.000000	0.500000	[0.5]	1.344738	253.000000	0	0
42	16.000000	0.500000	[0.5]	1.344738	269.000000	0	0
43	0.000000	-0.500000	[-0.5]	1.344738	269.000000	0	0
44	3.000000	0.500000	[0.5]	1.344738	272.000000	0	0
