step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	0.209440	[0.20944029092788696]	1.090932	0.000000	0	0
2	0.000000	-0.419899	[-0.4198986887931824]	1.090932	0.000000	0	0
3	0.000000	0.375190	[0.3751901090145111]	1.090932	0.000000	0	0
4	0.000000	0.500000	[0.5]	1.090932	0.000000	0	0
5	0.000000	0.500000	[0.5]	1.090932	0.000000	0	0
6	6.000000	0.500000	[0.5]	1.090932	6.000000	0	0
7	0.000000	0.500000	[0.5]	1.090932	6.000000	0	0
8	0.000000	0.500000	[0.5]	1.090932	6.000000	0	0
9	19.000000	0.277923	[0.2779232859611511]	1.090932	25.000000	0	0
10	0.000000	-0.361624	[-0.36162441968917847]	1.090932	25.000000	0	0
11	25.000000	0.478272	[0.47827160358428955]	1.090932	50.000000	0	0
12	0.000000	-0.149408	[-0.1494079828262329]	1.090932	50.000000	0	0
13	0.000000	-0.500000	[-0.5]	1.090932	50.000000	0	0
14	21.000000	0.012019	[0.012018650770187378]	1.090932	71.000000	0	0
15	15.000000	-0.500000	[-0.5]	1.090932	86.000000	0	0
16	10.000000	0.500000	[0.5]	1.090932	96.000000	0	0
17	1.000000	-0.071982	[-0.07198187708854675]	1.090932	97.000000	0	0
18	0.000000	0.272315	[0.2723153233528137]	1.090932	97.000000	0	0
19	10.000000	-0.500000	[-0.5]	1.090932	107.000000	0	0
20	6.000000	0.500000	[0.5]	1.090932	113.000000	0	0
21	0.000000	0.500000	[0.5]	1.090932	113.000000	0	0
22	0.000000	0.500000	[0.5]	1.090932	113.000000	0	0
23	64.000000	0.251936	[0.2519356906414032]	1.090932	177.000000	0	0
24	0.000000	0.500000	[0.5]	1.090932	177.000000	0	0
25	0.000000	-0.500000	[-0.5]	1.090932	177.000000	0	0
26	15.000000	0.325032	[0.325032114982605]	1.090932	192.000000	0	0
27	0.000000	0.500000	[0.5]	1.090932	192.000000	0	0
28	0.000000	0.500000	[0.5]	1.090932	192.000000	0	0
29	15.000000	0.500000	[0.5]	1.090932	207.000000	0	0
30	10.000000	0.488295	[0.48829537630081177]	1.090932	217.000000	0	0
31	0.000000	0.500000	[0.5]	1.090932	217.000000	0	0
32	0.000000	0.500000	[0.5]	1.090932	217.000000	0	0
33	0.000000	0.500000	[0.5]	1.090932	217.000000	0	0
34	4.000000	-0.500000	[-0.5]	1.090932	221.000000	0	0
35	0.000000	-0.215575	[-0.21557530760765076]	1.090932	221.000000	0	0
36	1.000000	-0.378382	[-0.37838178873062134]	1.090932	222.000000	0	0
37	0.000000	0.299257	[0.29925695061683655]	1.090932	222.000000	0	0
38	3.000000	0.042255	[0.04225485026836395]	1.090932	225.000000	0	0
39	10.000000	0.500000	[0.5]	1.090932	235.000000	0	0
40	0.000000	0.500000	[0.5]	1.090932	235.000000	0	0
41	36.000000	0.500000	[0.5]	1.090932	271.000000	0	0
42	0.000000	0.500000	[0.5]	1.090932	271.000000	0	0
43	9.000000	-0.500000	[-0.5]	1.090932	280.000000	0	0
44	0.000000	0.500000	[0.5]	1.090932	280.000000	0	0
45	15.000000	0.153741	[0.15374138951301575]	1.090932	295.000000	0	0
46	0.000000	0.500000	[0.5]	1.090932	295.000000	0	0
47	0.000000	0.093576	[0.09357571601867676]	1.090932	295.000000	0	0
48	0.000000	0.344718	[0.3447183668613434]	1.090932	295.000000	0	0
49	0.000000	-0.500000	[-0.5]	1.090932	295.000000	0	0
50	0.000000	0.146036	[0.1460360586643219]	1.090932	295.000000	0	0
51	4.000000	-0.500000	[-0.5]	1.090932	299.000000	0	0
52	16.000000	0.249460	[0.24945984780788422]	1.090932	315.000000	0	0
53	0.000000	-0.500000	[-0.5]	1.090932	315.000000	0	0
54	6.000000	0.500000	[0.5]	1.090932	321.000000	0	0
55	0.000000	0.500000	[0.5]	1.090932	321.000000	0	0
56	6.000000	0.500000	[0.5]	1.090932	327.000000	0	0
57	25.000000	-0.471347	[-0.4713466763496399]	1.090932	352.000000	0	0
58	0.000000	0.446418	[0.44641822576522827]	1.090932	352.000000	0	0
59	100.000000	-0.500000	[-0.5]	1.090932	452.000000	0	0
60	16.000000	-0.282890	[-0.2828899025917053]	1.090932	468.000000	0	0
61	9.000000	0.474532	[0.4745315909385681]	1.090932	477.000000	0	0
62	0.000000	0.030241	[0.0302409827709198]	1.090932	477.000000	0	0
63	0.000000	0.500000	[0.5]	1.090932	477.000000	0	0
64	36.000000	0.428295	[0.4282945394515991]	1.090932	513.000000	0	0
65	0.000000	-0.127676	[-0.12767603993415833]	1.090932	513.000000	0	0
66	10.000000	-0.500000	[-0.5]	1.090932	523.000000	0	0
67	0.000000	-0.500000	[-0.5]	1.090932	523.000000	0	0
68	10.000000	0.500000	[0.5]	1.090932	533.000000	0	0
69	0.000000	-0.500000	[-0.5]	1.090932	533.000000	0	0
70	15.000000	0.500000	[0.5]	1.090932	548.000000	0	0
71	0.000000	0.500000	[0.5]	1.090932	548.000000	0	0
72	0.000000	-0.500000	[-0.5]	1.090932	548.000000	0	0
73	15.000000	0.500000	[0.5]	1.090932	563.000000	0	0
74	4.000000	0.500000	[0.5]	1.090932	567.000000	0	0
75	25.000000	-0.500000	[-0.5]	1.090932	592.000000	0	0
76	0.000000	0.500000	[0.5]	1.090932	592.000000	0	0
77	0.000000	-0.500000	[-0.5]	1.090932	592.000000	0	0
78	10.000000	-0.175674	[-0.17567425966262817]	1.090932	602.000000	0	0
79	0.000000	0.232193	[0.23219271004199982]	1.090932	602.000000	0	0
80	0.000000	0.500000	[0.5]	1.090932	602.000000	0	0
81	0.000000	0.500000	[0.5]	1.090932	602.000000	0	0
82	79.000000	0.171353	[0.17135296761989594]	1.090932	681.000000	0	0
83	36.000000	0.016281	[0.016280904412269592]	1.090932	717.000000	0	0
84	9.000000	-0.500000	[-0.5]	1.090932	726.000000	0	0
85	6.000000	0.500000	[0.5]	1.090932	732.000000	0	0
86	0.000000	0.500000	[0.5]	1.090932	732.000000	0	0
87	0.000000	-0.257318	[-0.2573179006576538]	1.090932	732.000000	0	0
88	0.000000	-0.500000	[-0.5]	1.090932	732.000000	0	0
89	4.000000	0.110946	[0.11094552278518677]	1.090932	736.000000	0	0
90	4.000000	0.500000	[0.5]	1.090932	740.000000	0	0
91	1.000000	-0.500000	[-0.5]	1.090932	741.000000	0	0
92	0.000000	-0.186551	[-0.1865513026714325]	1.090932	741.000000	0	0
93	0.000000	0.500000	[0.5]	1.090932	741.000000	0	0
94	15.000000	0.421151	[0.42115116119384766]	1.090932	756.000000	0	0
95	0.000000	-0.500000	[-0.5]	1.090932	756.000000	0	0
96	0.000000	0.440542	[0.4405421018600464]	1.090932	756.000000	0	0
97	0.000000	-0.500000	[-0.5]	1.090932	756.000000	0	0
98	0.000000	-0.058737	[-0.05873745679855347]	1.090932	756.000000	0	0
99	15.000000	-0.313679	[-0.3136785626411438]	1.090932	771.000000	0	0
100	20.000000	-0.500000	[-0.5]	1.090932	791.000000	0	0
101	6.000000	0.318376	[0.31837642192840576]	1.090932	797.000000	0	0
