step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	0.500000	[0.5]	1.194863	0.000000	0	0
2	0.000000	-0.186967	[-0.18696725368499756]	1.194863	0.000000	0	0
3	0.000000	0.500000	[0.5]	1.194863	0.000000	0	0
4	0.000000	0.500000	[0.5]	1.194863	0.000000	0	0
5	0.000000	0.500000	[0.5]	1.194863	0.000000	0	0
6	0.000000	0.500000	[0.5]	1.194863	0.000000	0	0
7	0.000000	0.500000	[0.5]	1.194863	0.000000	0	0
8	0.000000	0.500000	[0.5]	1.194863	0.000000	0	0
9	0.000000	0.500000	[0.5]	1.194863	0.000000	0	0
10	31.000000	-0.123141	[-0.123141348361969]	1.194863	31.000000	0	0
11	25.000000	0.500000	[0.5]	1.194863	56.000000	0	0
12	0.000000	0.109292	[0.10929238796234131]	1.194863	56.000000	0	0
13	1.000000	-0.500000	[-0.5]	1.194863	57.000000	0	0
14	0.000000	0.286098	[0.2860977053642273]	1.194863	57.000000	0	0
15	0.000000	-0.500000	[-0.5]	1.194863	57.000000	0	0
16	0.000000	0.500000	[0.5]	1.194863	57.000000	0	0
17	0.000000	0.194095	[0.1940946877002716]	1.194863	57.000000	0	0
18	0.000000	0.500000	[0.5]	1.194863	57.000000	0	0
19	0.000000	-0.500000	[-0.5]	1.194863	57.000000	0	0
20	0.000000	0.500000	[0.5]	1.194863	57.000000	0	0
21	25.000000	0.500000	[0.5]	1.194863	82.000000	0	0
22	21.000000	0.500000	[0.5]	1.194863	103.000000	0	0
23	25.000000	0.500000	[0.5]	1.194863	128.000000	0	0
24	0.000000	0.500000	[0.5]	1.194863	128.000000	0	0
25	0.000000	-0.500000	[-0.5]	1.194863	128.000000	0	0
26	1.000000	0.500000	[0.5]	1.194863	129.000000	0	0
27	0.000000	0.500000	[0.5]	1.194863	129.000000	0	0
28	0.000000	0.500000	[0.5]	1.194863	129.000000	0	0
29	0.000000	0.500000	[0.5]	1.194863	129.000000	0	0
30	46.000000	0.500000	[0.5]	1.194863	175.000000	0	0
31	28.000000	0.500000	[0.5]	1.194863	203.000000	0	0
32	10.000000	0.500000	[0.5]	1.194863	213.000000	0	0
33	9.000000	0.500000	[0.5]	1.194863	222.000000	0	0
34	0.000000	-0.500000	[-0.5]	1.194863	222.000000	0	0
35	0.000000	0.036821	[0.03682148456573486]	1.194863	222.000000	0	0
36	0.000000	-0.141495	[-0.14149510860443115]	1.194863	222.000000	0	0
37	0.000000	0.500000	[0.5]	1.194863	222.000000	0	0
38	0.000000	0.319214	[0.31921443343162537]	1.194863	222.000000	0	0
39	0.000000	0.500000	[0.5]	1.194863	222.000000	0	0
40	0.000000	0.500000	[0.5]	1.194863	222.000000	0	0
41	25.000000	0.500000	[0.5]	1.194863	247.000000	0	0
42	0.000000	0.500000	[0.5]	1.194863	247.000000	0	0
43	0.000000	-0.500000	[-0.5]	1.194863	247.000000	0	0
44	0.000000	0.500000	[0.5]	1.194863	247.000000	0	0
45	3.000000	0.441322	[0.4413220286369324]	1.194863	250.000000	0	0
46	0.000000	0.500000	[0.5]	1.194863	250.000000	0	0
47	0.000000	0.375425	[0.37542450428009033]	1.194863	250.000000	0	0
48	0.000000	0.500000	[0.5]	1.194863	250.000000	0	0
49	0.000000	-0.486764	[-0.48676443099975586]	1.194863	250.000000	0	0
50	0.000000	0.432883	[0.4328826069831848]	1.194863	250.000000	0	0
51	10.000000	-0.500000	[-0.5]	1.194863	260.000000	0	0
52	23.000000	0.500000	[0.5]	1.194863	283.000000	0	0
53	36.000000	-0.374047	[-0.3740471601486206]	1.194863	319.000000	0	0
54	0.000000	0.500000	[0.5]	1.194863	319.000000	0	0
55	20.000000	0.500000	[0.5]	1.194863	339.000000	0	0
56	6.000000	0.500000	[0.5]	1.194863	345.000000	0	0
57	0.000000	-0.243317	[-0.24331653118133545]	1.194863	345.000000	0	0
58	10.000000	0.500000	[0.5]	1.194863	355.000000	0	0
59	10.000000	-0.500000	[-0.5]	1.194863	365.000000	0	0
60	36.000000	-0.036906	[-0.03690600395202637]	1.194863	401.000000	0	0
61	10.000000	0.500000	[0.5]	1.194863	411.000000	0	0
62	19.000000	0.306056	[0.30605605244636536]	1.194863	430.000000	0	0
63	0.000000	0.500000	[0.5]	1.194863	430.000000	0	0
64	0.000000	0.500000	[0.5]	1.194863	430.000000	0	0
65	15.000000	0.133095	[0.1330946981906891]	1.194863	445.000000	0	0
66	0.000000	-0.347521	[-0.34752124547958374]	1.194863	445.000000	0	0
67	0.000000	-0.387931	[-0.3879314661026001]	1.194863	445.000000	0	0
68	0.000000	0.500000	[0.5]	1.194863	445.000000	0	0
69	0.000000	-0.500000	[-0.5]	1.194863	445.000000	0	0
70	6.000000	0.500000	[0.5]	1.194863	451.000000	0	0
71	0.000000	0.500000	[0.5]	1.194863	451.000000	0	0
72	0.000000	-0.500000	[-0.5]	1.194863	451.000000	0	0
73	0.000000	0.500000	[0.5]	1.194863	451.000000	0	0
74	0.000000	0.500000	[0.5]	1.194863	451.000000	0	0
75	11.000000	-0.500000	[-0.5]	1.194863	462.000000	0	0
76	0.000000	0.500000	[0.5]	1.194863	462.000000	0	0
77	7.000000	-0.500000	[-0.5]	1.194863	469.000000	0	0
78	0.000000	0.080524	[0.0805237889289856]	1.194863	469.000000	0	0
79	36.000000	0.500000	[0.5]	1.194863	505.000000	0	0
80	0.000000	0.500000	[0.5]	1.194863	505.000000	0	0
81	0.000000	0.500000	[0.5]	1.194863	505.000000	0	0
82	0.000000	0.460611	[0.46061140298843384]	1.194863	505.000000	0	0
83	43.000000	0.290766	[0.29076603055000305]	1.194863	548.000000	0	0
84	9.000000	-0.305044	[-0.30504387617111206]	1.194863	557.000000	0	0
85	26.000000	0.500000	[0.5]	1.194863	583.000000	0	0
86	0.000000	0.500000	[0.5]	1.194863	583.000000	0	0
87	40.000000	-0.008898	[-0.008897781372070312]	1.194863	623.000000	0	0
88	0.000000	-0.431689	[-0.4316886067390442]	1.194863	623.000000	0	0
89	15.000000	0.394449	[0.3944490849971771]	1.194863	638.000000	0	0
90	15.000000	0.500000	[0.5]	1.194863	653.000000	0	0
91	0.000000	-0.335338	[-0.33533769845962524]	1.194863	653.000000	0	0
92	0.000000	0.068611	[0.0686105489730835]	1.194863	653.000000	0	0
93	0.000000	0.500000	[0.5]	1.194863	653.000000	0	0
94	0.000000	0.500000	[0.5]	1.194863	653.000000	0	0
95	46.000000	-0.500000	[-0.5]	1.194863	699.000000	0	0
96	0.000000	0.500000	[0.5]	1.194863	699.000000	0	0
97	3.000000	-0.332090	[-0.33208996057510376]	1.194863	702.000000	0	0
98	10.000000	0.208601	[0.20860084891319275]	1.194863	712.000000	0	0
99	10.000000	-0.070628	[-0.07062780857086182]	1.194863	722.000000	0	0
100	15.000000	-0.500000	[-0.5]	1.194863	737.000000	0	0
101	85.000000	0.500000	[0.5]	1.194863	822.000000	0	0
102	4.000000	0.097901	[0.0979011058807373]	1.194863	826.000000	0	0
103	0.000000	0.500000	[0.5]	1.194863	826.000000	0	0
104	0.000000	0.500000	[0.5]	1.194863	826.000000	0	0
105	0.000000	0.500000	[0.5]	1.194863	826.000000	0	0
106	10.000000	0.500000	[0.5]	1.194863	836.000000	0	0
107	15.000000	-0.121965	[-0.12196522951126099]	1.194863	851.000000	0	0
108	15.000000	0.500000	[0.5]	1.194863	866.000000	0	0
109	0.000000	0.500000	[0.5]	1.194863	866.000000	0	0
110	31.000000	-0.500000	[-0.5]	1.194863	897.000000	0	0
111	0.000000	-0.500000	[-0.5]	1.194863	897.000000	0	0
112	10.000000	0.500000	[0.5]	1.194863	907.000000	0	0
113	0.000000	0.500000	[0.5]	1.194863	907.000000	0	0
114	0.000000	0.500000	[0.5]	1.194863	907.000000	0	0
115	0.000000	0.500000	[0.5]	1.194863	907.000000	0	0
116	0.000000	-0.500000	[-0.5]	1.194863	907.000000	0	0
117	7.000000	0.500000	[0.5]	1.194863	914.000000	0	0
118	0.000000	0.500000	[0.5]	1.194863	914.000000	0	0
119	6.000000	0.297252	[0.29725217819213867]	1.194863	920.000000	0	0
120	0.000000	-0.071905	[-0.07190537452697754]	1.194863	920.000000	0	0
121	0.000000	-0.500000	[-0.5]	1.194863	920.000000	0	0
122	0.000000	0.478857	[0.4788569211959839]	1.194863	920.000000	0	0
123	0.000000	-0.235283	[-0.23528295755386353]	1.194863	920.000000	0	0
124	0.000000	-0.273887	[-0.27388685941696167]	1.194863	920.000000	0	0
125	0.000000	-0.500000	[-0.5]	1.194863	920.000000	0	0
126	3.000000	0.500000	[0.5]	1.194863	923.000000	0	0
127	31.000000	-0.500000	[-0.5]	1.194863	954.000000	0	0
128	15.000000	0.270129	[0.2701292932033539]	1.194863	969.000000	0	0
129	0.000000	0.470289	[0.47028911113739014]	1.194863	969.000000	0	0
130	19.000000	-0.500000	[-0.5]	1.194863	988.000000	0	0
131	99.000000	-0.276930	[-0.2769302725791931]	1.194863	1087.000000	0	0
132	0.000000	0.500000	[0.5]	1.194863	1087.000000	0	0
133	0.000000	0.500000	[0.5]	1.194863	1087.000000	0	0
134	0.000000	0.500000	[0.5]	1.194863	1087.000000	0	0
135	6.000000	0.500000	[0.5]	1.194863	1093.000000	0	0
136	3.000000	0.500000	[0.5]	1.194863	1096.000000	0	0
137	0.000000	0.500000	[0.5]	1.194863	1096.000000	0	0
138	10.000000	0.500000	[0.5]	1.194863	1106.000000	0	0
139	0.000000	0.500000	[0.5]	1.194863	1106.000000	0	0
140	0.000000	-0.500000	[-0.5]	1.194863	1106.000000	0	0
141	10.000000	-0.500000	[-0.5]	1.194863	1116.000000	0	0
142	0.000000	0.097914	[0.09791368246078491]	1.194863	1116.000000	0	0
143	3.000000	0.500000	[0.5]	1.194863	1119.000000	0	0
144	6.000000	0.420037	[0.42003703117370605]	1.194863	1125.000000	0	0
145	0.000000	-0.500000	[-0.5]	1.194863	1125.000000	0	0
146	0.000000	-0.500000	[-0.5]	1.194863	1125.000000	0	0
147	0.000000	0.500000	[0.5]	1.194863	1125.000000	0	0
148	-500.000000	0.500000	[0.5]	1.194863	1125.000000	1	0
