step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	0.420091	[0.42009133100509644]	2.088237	0.000000	0	0
2	0.000000	-0.500000	[-0.5]	2.088237	0.000000	0	0
3	0.000000	0.500000	[0.5]	2.088237	0.000000	0	0
4	0.000000	0.500000	[0.5]	2.088237	0.000000	0	0
5	0.000000	0.500000	[0.5]	2.088237	0.000000	0	0
6	0.000000	0.500000	[0.5]	2.088237	0.000000	0	0
7	0.000000	0.500000	[0.5]	2.088237	0.000000	0	0
8	0.000000	0.500000	[0.5]	2.088237	0.000000	0	0
9	15.000000	0.500000	[0.5]	2.088237	15.000000	0	0
10	6.000000	-0.500000	[-0.5]	2.088237	21.000000	0	0
11	1.000000	0.500000	[0.5]	2.088237	22.000000	0	0
12	0.000000	-0.266807	[-0.2668074369430542]	2.088237	22.000000	0	0
13	0.000000	-0.500000	[-0.5]	2.088237	22.000000	0	0
14	10.000000	0.042192	[0.04219156503677368]	2.088237	32.000000	0	0
15	15.000000	-0.500000	[-0.5]	2.088237	47.000000	0	0
16	0.000000	0.500000	[0.5]	2.088237	47.000000	0	0
17	0.000000	-0.118600	[-0.11860024929046631]	2.088237	47.000000	0	0
18	0.000000	0.500000	[0.5]	2.088237	47.000000	0	0
19	36.000000	-0.500000	[-0.5]	2.088237	83.000000	0	0
20	0.000000	0.500000	[0.5]	2.088237	83.000000	0	0
21	10.000000	0.500000	[0.5]	2.088237	93.000000	0	0
22	1.000000	0.500000	[0.5]	2.088237	94.000000	0	0
23	0.000000	0.500000	[0.5]	2.088237	94.000000	0	0
24	0.000000	0.500000	[0.5]	2.088237	94.000000	0	0
25	0.000000	-0.500000	[-0.5]	2.088237	94.000000	0	0
26	0.000000	0.500000	[0.5]	2.088237	94.000000	0	0
27	0.000000	0.500000	[0.5]	2.088237	94.000000	0	0
28	19.000000	0.500000	[0.5]	2.088237	113.000000	0	0
29	0.000000	0.500000	[0.5]	2.088237	113.000000	0	0
30	0.000000	0.500000	[0.5]	2.088237	113.000000	0	0
31	34.000000	0.500000	[0.5]	2.088237	147.000000	0	0
32	0.000000	0.500000	[0.5]	2.088237	147.000000	0	0
33	0.000000	0.500000	[0.5]	2.088237	147.000000	0	0
34	25.000000	-0.500000	[-0.5]	2.088237	172.000000	0	0
35	55.000000	-0.393463	[-0.3934633135795593]	2.088237	227.000000	0	0
36	10.000000	-0.500000	[-0.5]	2.088237	237.000000	0	0
37	0.000000	0.500000	[0.5]	2.088237	237.000000	0	0
38	0.000000	0.100069	[0.10006895661354065]	2.088237	237.000000	0	0
39	0.000000	0.500000	[0.5]	2.088237	237.000000	0	0
40	10.000000	0.500000	[0.5]	2.088237	247.000000	0	0
41	36.000000	0.500000	[0.5]	2.088237	283.000000	0	0
42	25.000000	0.500000	[0.5]	2.088237	308.000000	0	0
43	0.000000	-0.500000	[-0.5]	2.088237	308.000000	0	0
44	6.000000	0.500000	[0.5]	2.088237	314.000000	0	0
45	0.000000	0.313474	[0.3134738504886627]	2.088237	314.000000	0	0
46	0.000000	0.500000	[0.5]	2.088237	314.000000	0	0
47	9.000000	0.198306	[0.198306143283844]	2.088237	323.000000	0	0
48	0.000000	0.500000	[0.5]	2.088237	323.000000	0	0
49	0.000000	-0.500000	[-0.5]	2.088237	323.000000	0	0
