step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	0.500000	[0.5]	2.310120	0.000000	0	0
2	0.000000	0.500000	[0.5]	2.310120	0.000000	0	0
3	1.000000	0.500000	[0.5]	2.310120	1.000000	0	0
4	0.000000	0.500000	[0.5]	2.310120	1.000000	0	0
5	1.000000	0.500000	[0.5]	2.310120	2.000000	0	0
6	3.000000	0.500000	[0.5]	2.310120	5.000000	0	0
7	0.000000	0.500000	[0.5]	2.310120	5.000000	0	0
8	0.000000	0.500000	[0.5]	2.310120	5.000000	0	0
9	0.000000	0.500000	[0.5]	2.310120	5.000000	0	0
10	0.000000	0.500000	[0.5]	2.310120	5.000000	0	0
11	6.000000	0.500000	[0.5]	2.310120	11.000000	0	0
12	0.000000	0.500000	[0.5]	2.310120	11.000000	0	0
13	0.000000	-0.500000	[-0.5]	2.310120	11.000000	0	0
14	0.000000	0.500000	[0.5]	2.310120	11.000000	0	0
15	1.000000	-0.346060	[-0.34605979919433594]	2.310120	12.000000	0	0
16	10.000000	0.500000	[0.5]	2.310120	22.000000	0	0
17	0.000000	0.500000	[0.5]	2.310120	22.000000	0	0
18	0.000000	0.500000	[0.5]	2.310120	22.000000	0	0
19	25.000000	0.500000	[0.5]	2.310120	47.000000	0	0
20	0.000000	0.500000	[0.5]	2.310120	47.000000	0	0
21	9.000000	0.500000	[0.5]	2.310120	56.000000	0	0
22	0.000000	0.500000	[0.5]	2.310120	56.000000	0	0
23	1.000000	0.500000	[0.5]	2.310120	57.000000	0	0
24	25.000000	0.500000	[0.5]	2.310120	82.000000	0	0
25	0.000000	0.500000	[0.5]	2.310120	82.000000	0	0
26	0.000000	0.500000	[0.5]	2.310120	82.000000	0	0
27	10.000000	0.500000	[0.5]	2.310120	92.000000	0	0
28	16.000000	0.500000	[0.5]	2.310120	108.000000	0	0
29	0.000000	0.500000	[0.5]	2.310120	108.000000	0	0
30	0.000000	0.500000	[0.5]	2.310120	108.000000	0	0
31	36.000000	0.500000	[0.5]	2.310120	144.000000	0	0
32	0.000000	0.500000	[0.5]	2.310120	144.000000	0	0
33	0.000000	0.500000	[0.5]	2.310120	144.000000	0	0
34	6.000000	0.500000	[0.5]	2.310120	150.000000	0	0
35	0.000000	0.500000	[0.5]	2.310120	150.000000	0	0
36	25.000000	0.500000	[0.5]	2.310120	175.000000	0	0
37	3.000000	0.500000	[0.5]	2.310120	178.000000	0	0
38	0.000000	0.500000	[0.5]	2.310120	178.000000	0	0
39	80.000000	0.500000	[0.5]	2.310120	258.000000	0	0
40	10.000000	0.500000	[0.5]	2.310120	268.000000	0	0
41	0.000000	0.500000	[0.5]	2.310120	268.000000	0	0
42	0.000000	0.500000	[0.5]	2.310120	268.000000	0	0
