step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	-0.500000	[-0.5]	2.697797	0.000000	0	0
2	1.000000	-0.500000	[-0.5]	2.697797	1.000000	0	0
3	0.000000	0.500000	[0.5]	2.697797	1.000000	0	0
4	0.000000	-0.500000	[-0.5]	2.697797	1.000000	0	0
5	0.000000	0.500000	[0.5]	2.697797	1.000000	0	0
6	0.000000	-0.500000	[-0.5]	2.697797	1.000000	0	0
7	0.000000	-0.500000	[-0.5]	2.697797	1.000000	0	0
8	4.000000	-0.182378	[-0.18237805366516113]	2.697797	5.000000	0	0
9	0.000000	0.500000	[0.5]	2.697797	5.000000	0	0
10	0.000000	0.500000	[0.5]	2.697797	5.000000	0	0
11	0.000000	0.500000	[0.5]	2.697797	5.000000	0	0
12	6.000000	-0.500000	[-0.5]	2.697797	11.000000	0	0
13	10.000000	-0.500000	[-0.5]	2.697797	21.000000	0	0
14	0.000000	-0.500000	[-0.5]	2.697797	21.000000	0	0
15	0.000000	-0.500000	[-0.5]	2.697797	21.000000	0	0
16	0.000000	0.500000	[0.5]	2.697797	21.000000	0	0
17	0.000000	-0.500000	[-0.5]	2.697797	21.000000	0	0
18	0.000000	-0.051558	[-0.05155813321471214]	2.697797	21.000000	0	0
19	0.000000	-0.500000	[-0.5]	2.697797	21.000000	0	0
20	15.000000	0.500000	[0.5]	2.697797	36.000000	0	0
21	0.000000	0.500000	[0.5]	2.697797	36.000000	0	0
22	0.000000	-0.500000	[-0.5]	2.697797	36.000000	0	0
23	46.000000	-0.500000	[-0.5]	2.697797	82.000000	0	0
24	1.000000	-0.500000	[-0.5]	2.697797	83.000000	0	0
25	0.000000	0.500000	[0.5]	2.697797	83.000000	0	0
26	3.000000	0.500000	[0.5]	2.697797	86.000000	0	0
27	0.000000	0.500000	[0.5]	2.697797	86.000000	0	0
28	15.000000	0.500000	[0.5]	2.697797	101.000000	0	0
29	9.000000	-0.500000	[-0.5]	2.697797	110.000000	0	0
30	25.000000	-0.500000	[-0.5]	2.697797	135.000000	0	0
31	0.000000	-0.500000	[-0.5]	2.697797	135.000000	0	0
32	0.000000	-0.500000	[-0.5]	2.697797	135.000000	0	0
33	0.000000	0.500000	[0.5]	2.697797	135.000000	0	0
34	0.000000	0.500000	[0.5]	2.697797	135.000000	0	0
35	74.000000	0.332585	[0.3325851857662201]	2.697797	209.000000	0	0
36	6.000000	-0.500000	[-0.5]	2.697797	215.000000	0	0
37	16.000000	-0.394282	[-0.39428240060806274]	2.697797	231.000000	0	0
38	0.000000	-0.500000	[-0.5]	2.697797	231.000000	0	0
39	0.000000	-0.500000	[-0.5]	2.697797	231.000000	0	0
40	0.000000	-0.500000	[-0.5]	2.697797	231.000000	0	0
41	3.000000	-0.500000	[-0.5]	2.697797	234.000000	0	0
