step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	-0.500000	[-0.5]	1.986247	0.000000	0	0
2	1.000000	-0.500000	[-0.5]	1.986247	1.000000	0	0
3	0.000000	0.035546	[0.03554612398147583]	1.986247	1.000000	0	0
4	0.000000	-0.500000	[-0.5]	1.986247	1.000000	0	0
5	0.000000	0.500000	[0.5]	1.986247	1.000000	0	0
6	0.000000	-0.500000	[-0.5]	1.986247	1.000000	0	0
7	0.000000	-0.500000	[-0.5]	1.986247	1.000000	0	0
8	0.000000	-0.500000	[-0.5]	1.986247	1.000000	0	0
9	0.000000	0.500000	[0.5]	1.986247	1.000000	0	0
10	0.000000	0.265385	[0.2653852701187134]	1.986247	1.000000	0	0
11	0.000000	0.500000	[0.5]	1.986247	1.000000	0	0
12	0.000000	-0.500000	[-0.5]	1.986247	1.000000	0	0
13	4.000000	-0.500000	[-0.5]	1.986247	5.000000	0	0
14	25.000000	-0.500000	[-0.5]	1.986247	30.000000	0	0
15	0.000000	-0.500000	[-0.5]	1.986247	30.000000	0	0
16	0.000000	0.066568	[0.06656837463378906]	1.986247	30.000000	0	0
17	0.000000	-0.500000	[-0.5]	1.986247	30.000000	0	0
18	10.000000	-0.500000	[-0.5]	1.986247	40.000000	0	0
19	0.000000	-0.500000	[-0.5]	1.986247	40.000000	0	0
20	0.000000	0.052437	[0.0524369478225708]	1.986247	40.000000	0	0
21	0.000000	-0.153584	[-0.153583824634552]	1.986247	40.000000	0	0
22	19.000000	-0.500000	[-0.5]	1.986247	59.000000	0	0
23	36.000000	-0.500000	[-0.5]	1.986247	95.000000	0	0
24	3.000000	-0.500000	[-0.5]	1.986247	98.000000	0	0
25	0.000000	-0.003252	[-0.0032524466514587402]	1.986247	98.000000	0	0
26	0.000000	0.500000	[0.5]	1.986247	98.000000	0	0
27	0.000000	0.500000	[0.5]	1.986247	98.000000	0	0
28	0.000000	0.500000	[0.5]	1.986247	98.000000	0	0
29	42.000000	-0.500000	[-0.5]	1.986247	140.000000	0	0
30	0.000000	-0.500000	[-0.5]	1.986247	140.000000	0	0
31	0.000000	-0.500000	[-0.5]	1.986247	140.000000	0	0
32	0.000000	-0.500000	[-0.5]	1.986247	140.000000	0	0
33	0.000000	0.500000	[0.5]	1.986247	140.000000	0	0
34	0.000000	-0.020340	[-0.020340383052825928]	1.986247	140.000000	0	0
35	0.000000	-0.313803	[-0.3138028383255005]	1.986247	140.000000	0	0
36	0.000000	-0.500000	[-0.5]	1.986247	140.000000	0	0
37	0.000000	-0.500000	[-0.5]	1.986247	140.000000	0	0
38	0.000000	-0.500000	[-0.5]	1.986247	140.000000	0	0
39	1.000000	-0.500000	[-0.5]	1.986247	141.000000	0	0
40	0.000000	-0.500000	[-0.5]	1.986247	141.000000	0	0
41	0.000000	-0.500000	[-0.5]	1.986247	141.000000	0	0
42	0.000000	0.500000	[0.5]	1.986247	141.000000	0	0
43	15.000000	-0.500000	[-0.5]	1.986247	156.000000	0	0
44	0.000000	-0.500000	[-0.5]	1.986247	156.000000	0	0
45	0.000000	-0.500000	[-0.5]	1.986247	156.000000	0	0
46	0.000000	-0.500000	[-0.5]	1.986247	156.000000	0	0
47	0.000000	0.500000	[0.5]	1.986247	156.000000	0	0
48	65.000000	-0.500000	[-0.5]	1.986247	221.000000	0	0
49	0.000000	-0.500000	[-0.5]	1.986247	221.000000	0	0
50	0.000000	-0.500000	[-0.5]	1.986247	221.000000	0	0
51	0.000000	-0.500000	[-0.5]	1.986247	221.000000	0	0
52	30.000000	0.500000	[0.5]	1.986247	251.000000	0	0
53	10.000000	-0.500000	[-0.5]	1.986247	261.000000	0	0
54	0.000000	0.187740	[0.1877395510673523]	1.986247	261.000000	0	0
55	0.000000	-0.500000	[-0.5]	1.986247	261.000000	0	0
56	1.000000	-0.500000	[-0.5]	1.986247	262.000000	0	0
57	0.000000	-0.500000	[-0.5]	1.986247	262.000000	0	0
58	0.000000	-0.500000	[-0.5]	1.986247	262.000000	0	0
59	0.000000	-0.467976	[-0.46797603368759155]	1.986247	262.000000	0	0
60	0.000000	0.500000	[0.5]	1.986247	262.000000	0	0
61	3.000000	-0.500000	[-0.5]	1.986247	265.000000	0	0
62	0.000000	-0.500000	[-0.5]	1.986247	265.000000	0	0
63	9.000000	0.126683	[0.12668311595916748]	1.986247	274.000000	0	0
64	0.000000	0.500000	[0.5]	1.986247	274.000000	0	0
65	0.000000	0.500000	[0.5]	1.986247	274.000000	0	0
66	6.000000	-0.500000	[-0.5]	1.986247	280.000000	0	0
67	0.000000	-0.500000	[-0.5]	1.986247	280.000000	0	0
68	6.000000	0.500000	[0.5]	1.986247	286.000000	0	0
69	0.000000	0.500000	[0.5]	1.986247	286.000000	0	0
70	0.000000	-0.500000	[-0.5]	1.986247	286.000000	0	0
71	25.000000	0.500000	[0.5]	1.986247	311.000000	0	0
72	1.000000	0.224544	[0.2245435118675232]	1.986247	312.000000	0	0
73	0.000000	0.500000	[0.5]	1.986247	312.000000	0	0
74	115.000000	-0.500000	[-0.5]	1.986247	427.000000	0	0
75	9.000000	0.500000	[0.5]	1.986247	436.000000	0	0
76	0.000000	-0.037989	[-0.03798896074295044]	1.986247	436.000000	0	0
77	4.000000	0.500000	[0.5]	1.986247	440.000000	0	0
78	6.000000	0.500000	[0.5]	1.986247	446.000000	0	0
79	25.000000	0.500000	[0.5]	1.986247	471.000000	0	0
80	0.000000	-0.305635	[-0.30563464760780334]	1.986247	471.000000	0	0
81	0.000000	-0.500000	[-0.5]	1.986247	471.000000	0	0
82	0.000000	-0.500000	[-0.5]	1.986247	471.000000	0	0
83	0.000000	0.500000	[0.5]	1.986247	471.000000	0	0
84	0.000000	0.500000	[0.5]	1.986247	471.000000	0	0
85	15.000000	-0.500000	[-0.5]	1.986247	486.000000	0	0
86	15.000000	0.500000	[0.5]	1.986247	501.000000	0	0
87	0.000000	-0.500000	[-0.5]	1.986247	501.000000	0	0
88	10.000000	-0.268244	[-0.2682443857192993]	1.986247	511.000000	0	0
89	0.000000	0.500000	[0.5]	1.986247	511.000000	0	0
90	0.000000	-0.500000	[-0.5]	1.986247	511.000000	0	0
91	1.000000	0.500000	[0.5]	1.986247	512.000000	0	0
92	0.000000	-0.500000	[-0.5]	1.986247	512.000000	0	0
93	100.000000	-0.494753	[-0.49475324153900146]	1.986247	612.000000	0	0
94	40.000000	0.500000	[0.5]	1.986247	652.000000	0	0
95	0.000000	0.270147	[0.2701466679573059]	1.986247	652.000000	0	0
