step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	-0.500000	[-0.5]	1.155098	0.000000	0	0
2	0.000000	-0.322716	[-0.32271608710289]	1.155098	0.000000	0	0
3	0.000000	0.303302	[0.3033020496368408]	1.155098	0.000000	0	0
4	0.000000	-0.500000	[-0.5]	1.155098	0.000000	0	0
5	1.000000	0.500000	[0.5]	1.155098	1.000000	0	0
6	6.000000	-0.500000	[-0.5]	1.155098	7.000000	0	0
7	6.000000	-0.500000	[-0.5]	1.155098	13.000000	0	0
8	0.000000	-0.120350	[-0.12034972012042999]	1.155098	13.000000	0	0
9	1.000000	0.500000	[0.5]	1.155098	14.000000	0	0
10	15.000000	0.436965	[0.43696460127830505]	1.155098	29.000000	0	0
11	0.000000	0.500000	[0.5]	1.155098	29.000000	0	0
12	0.000000	-0.500000	[-0.5]	1.155098	29.000000	0	0
13	3.000000	-0.500000	[-0.5]	1.155098	32.000000	0	0
14	0.000000	-0.500000	[-0.5]	1.155098	32.000000	0	0
15	0.000000	-0.500000	[-0.5]	1.155098	32.000000	0	0
16	0.000000	0.321343	[0.32134300470352173]	1.155098	32.000000	0	0
17	0.000000	-0.435890	[-0.4358900785446167]	1.155098	32.000000	0	0
18	15.000000	-0.064337	[-0.06433738768100739]	1.155098	47.000000	0	0
19	0.000000	-0.500000	[-0.5]	1.155098	47.000000	0	0
20	0.000000	0.313125	[0.3131248950958252]	1.155098	47.000000	0	0
21	0.000000	0.193314	[0.19331389665603638]	1.155098	47.000000	0	0
22	10.000000	-0.482908	[-0.4829082190990448]	1.155098	57.000000	0	0
23	46.000000	-0.500000	[-0.5]	1.155098	103.000000	0	0
24	25.000000	-0.500000	[-0.5]	1.155098	128.000000	0	0
25	1.000000	0.280739	[0.28073883056640625]	1.155098	129.000000	0	0
26	19.000000	0.500000	[0.5]	1.155098	148.000000	0	0
27	64.000000	0.500000	[0.5]	1.155098	212.000000	0	0
28	0.000000	0.500000	[0.5]	1.155098	212.000000	0	0
29	6.000000	-0.500000	[-0.5]	1.155098	218.000000	0	0
30	0.000000	-0.364567	[-0.36456745862960815]	1.155098	218.000000	0	0
31	0.000000	-0.364000	[-0.36400049924850464]	1.155098	218.000000	0	0
32	0.000000	-0.500000	[-0.5]	1.155098	218.000000	0	0
33	15.000000	0.500000	[0.5]	1.155098	233.000000	0	0
34	0.000000	0.270801	[0.2708013653755188]	1.155098	233.000000	0	0
35	0.000000	0.100139	[0.10013880580663681]	1.155098	233.000000	0	0
36	0.000000	-0.500000	[-0.5]	1.155098	233.000000	0	0
37	0.000000	-0.211079	[-0.21107947826385498]	1.155098	233.000000	0	0
38	1.000000	-0.500000	[-0.5]	1.155098	234.000000	0	0
39	0.000000	-0.264021	[-0.264021098613739]	1.155098	234.000000	0	0
40	46.000000	-0.500000	[-0.5]	1.155098	280.000000	0	0
41	19.000000	-0.500000	[-0.5]	1.155098	299.000000	0	0
42	0.000000	0.500000	[0.5]	1.155098	299.000000	0	0
43	0.000000	-0.474466	[-0.4744657278060913]	1.155098	299.000000	0	0
44	0.000000	-0.321499	[-0.3214992582798004]	1.155098	299.000000	0	0
45	10.000000	-0.500000	[-0.5]	1.155098	309.000000	0	0
46	15.000000	-0.441057	[-0.44105690717697144]	1.155098	324.000000	0	0
47	0.000000	0.500000	[0.5]	1.155098	324.000000	0	0
48	0.000000	-0.185979	[-0.1859787106513977]	1.155098	324.000000	0	0
49	25.000000	-0.500000	[-0.5]	1.155098	349.000000	0	0
50	15.000000	-0.070904	[-0.0709044486284256]	1.155098	364.000000	0	0
51	0.000000	-0.306375	[-0.30637526512145996]	1.155098	364.000000	0	0
52	0.000000	0.500000	[0.5]	1.155098	364.000000	0	0
53	121.000000	-0.500000	[-0.5]	1.155098	485.000000	0	0
54	6.000000	0.391810	[0.3918098509311676]	1.155098	491.000000	0	0
55	0.000000	-0.197236	[-0.19723646342754364]	1.155098	491.000000	0	0
56	0.000000	-0.500000	[-0.5]	1.155098	491.000000	0	0
57	9.000000	-0.500000	[-0.5]	1.155098	500.000000	0	0
58	1.000000	-0.189432	[-0.18943169713020325]	1.155098	501.000000	0	0
59	0.000000	0.010480	[0.010479673743247986]	1.155098	501.000000	0	0
60	0.000000	0.500000	[0.5]	1.155098	501.000000	0	0
61	31.000000	-0.500000	[-0.5]	1.155098	532.000000	0	0
62	0.000000	-0.105211	[-0.1052113026380539]	1.155098	532.000000	0	0
63	0.000000	0.356303	[0.3563026189804077]	1.155098	532.000000	0	0
64	0.000000	0.500000	[0.5]	1.155098	532.000000	0	0
65	0.000000	0.500000	[0.5]	1.155098	532.000000	0	0
66	15.000000	-0.500000	[-0.5]	1.155098	547.000000	0	0
67	0.000000	-0.061270	[-0.061270006000995636]	1.155098	547.000000	0	0
68	74.000000	0.500000	[0.5]	1.155098	621.000000	0	0
69	0.000000	0.500000	[0.5]	1.155098	621.000000	0	0
70	0.000000	-0.500000	[-0.5]	1.155098	621.000000	0	0
71	0.000000	0.500000	[0.5]	1.155098	621.000000	0	0
72	4.000000	0.413213	[0.41321316361427307]	1.155098	625.000000	0	0
73	6.000000	0.500000	[0.5]	1.155098	631.000000	0	0
74	4.000000	-0.500000	[-0.5]	1.155098	635.000000	0	0
75	0.000000	0.500000	[0.5]	1.155098	635.000000	0	0
76	0.000000	0.260538	[0.26053786277770996]	1.155098	635.000000	0	0
77	0.000000	0.500000	[0.5]	1.155098	635.000000	0	0
78	15.000000	0.500000	[0.5]	1.155098	650.000000	0	0
79	0.000000	0.500000	[0.5]	1.155098	650.000000	0	0
80	6.000000	0.104889	[0.10488901287317276]	1.155098	656.000000	0	0
81	10.000000	-0.500000	[-0.5]	1.155098	666.000000	0	0
82	36.000000	-0.467559	[-0.4675588607788086]	1.155098	702.000000	0	0
83	46.000000	0.500000	[0.5]	1.155098	748.000000	0	0
