step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	-0.500000	[-0.5]	1.394516	0.000000	0	0
2	1.000000	-0.389743	[-0.3897428512573242]	1.394516	1.000000	0	0
3	0.000000	0.366030	[0.36603009700775146]	1.394516	1.000000	0	0
4	3.000000	-0.500000	[-0.5]	1.394516	4.000000	0	0
5	0.000000	0.500000	[0.5]	1.394516	4.000000	0	0
6	6.000000	-0.500000	[-0.5]	1.394516	10.000000	0	0
7	0.000000	-0.500000	[-0.5]	1.394516	10.000000	0	0
8	0.000000	-0.145432	[-0.1454320102930069]	1.394516	10.000000	0	0
9	0.000000	0.500000	[0.5]	1.394516	10.000000	0	0
10	0.000000	0.500000	[0.5]	1.394516	10.000000	0	0
11	0.000000	0.500000	[0.5]	1.394516	10.000000	0	0
12	0.000000	-0.500000	[-0.5]	1.394516	10.000000	0	0
13	0.000000	-0.500000	[-0.5]	1.394516	10.000000	0	0
14	0.000000	-0.500000	[-0.5]	1.394516	10.000000	0	0
15	15.000000	-0.500000	[-0.5]	1.394516	25.000000	0	0
16	0.000000	0.387810	[0.3878104090690613]	1.394516	25.000000	0	0
17	1.000000	-0.500000	[-0.5]	1.394516	26.000000	0	0
18	0.000000	-0.077810	[-0.07781000435352325]	1.394516	26.000000	0	0
19	0.000000	-0.500000	[-0.5]	1.394516	26.000000	0	0
20	52.000000	0.377889	[0.37788891792297363]	1.394516	78.000000	0	0
21	25.000000	0.233245	[0.2332446575164795]	1.394516	103.000000	0	0
22	4.000000	-0.500000	[-0.5]	1.394516	107.000000	0	0
23	6.000000	-0.500000	[-0.5]	1.394516	113.000000	0	0
24	0.000000	-0.500000	[-0.5]	1.394516	113.000000	0	0
25	36.000000	0.338790	[0.3387901782989502]	1.394516	149.000000	0	0
26	0.000000	0.500000	[0.5]	1.394516	149.000000	0	0
27	1.000000	0.500000	[0.5]	1.394516	150.000000	0	0
28	0.000000	0.500000	[0.5]	1.394516	150.000000	0	0
29	0.000000	-0.500000	[-0.5]	1.394516	150.000000	0	0
30	3.000000	-0.440269	[-0.44026878476142883]	1.394516	153.000000	0	0
