step	reward	x	action	sigma	score	terminated	truncated
1	0.000000	-0.500000	[-0.5]	2.920835	0.000000	0	0
2	0.000000	0.025744	[0.025743603706359863]	2.920835	0.000000	0	0
3	0.000000	0.500000	[0.5]	2.920835	0.000000	0	0
4	0.000000	-0.500000	[-0.5]	2.920835	0.000000	0	0
5	15.000000	0.500000	[0.5]	2.920835	15.000000	0	0
6	0.000000	-0.500000	[-0.5]	2.920835	15.000000	0	0
7	0.000000	-0.500000	[-0.5]	2.920835	15.000000	0	0
8	0.000000	0.500000	[0.5]	2.920835	15.000000	0	0
9	1.000000	0.500000	[0.5]	2.920835	16.000000	0	0
10	0.000000	0.500000	[0.5]	2.920835	16.000000	0	0
11	25.000000	0.500000	[0.5]	2.920835	41.000000	0	0
12	10.000000	-0.500000	[-0.5]	2.920835	51.000000	0	0
13	0.000000	-0.500000	[-0.5]	2.920835	51.000000	0	0
14	6.000000	-0.500000	[-0.5]	2.920835	57.000000	0	0
15	0.000000	-0.500000	[-0.5]	2.920835	57.000000	0	0
16	0.000000	0.500000	[0.5]	2.920835	57.000000	0	0
17	0.000000	-0.260433	[-0.2604333162307739]	2.920835	57.000000	0	0
18	0.000000	0.500000	[0.5]	2.920835	57.000000	0	0
19	1.000000	-0.500000	[-0.5]	2.920835	58.000000	0	0
20	10.000000	0.500000	[0.5]	2.920835	68.000000	0	0
21	0.000000	0.500000	[0.5]	2.920835	68.000000	0	0
22	25.000000	-0.379326	[-0.3793255090713501]	2.920835	93.000000	0	0
23	21.000000	-0.500000	[-0.5]	2.920835	114.000000	0	0
24	6.000000	-0.500000	[-0.5]	2.920835	120.000000	0	0
25	0.000000	0.500000	[0.5]	2.920835	120.000000	0	0
26	39.000000	0.500000	[0.5]	2.920835	159.000000	0	0
27	0.000000	0.500000	[0.5]	2.920835	159.000000	0	0
28	0.000000	0.500000	[0.5]	2.920835	159.000000	0	0
29	0.000000	-0.500000	[-0.5]	2.920835	159.000000	0	0
30	15.000000	-0.080084	[-0.08008372783660889]	2.920835	174.000000	0	0
31	0.000000	-0.078650	[-0.07865005731582642]	2.920835	174.000000	0	0
32	0.000000	-0.500000	[-0.5]	2.920835	174.000000	0	0
33	19.000000	0.500000	[0.5]	2.920835	193.000000	0	0
34	0.000000	0.500000	[0.5]	2.920835	193.000000	0	0
35	0.000000	0.500000	[0.5]	2.920835	193.000000	0	0
36	0.000000	-0.500000	[-0.5]	2.920835	193.000000	0	0
37	31.000000	0.308033	[0.3080330193042755]	2.920835	224.000000	0	0
38	1.000000	-0.500000	[-0.5]	2.920835	225.000000	0	0
39	0.000000	0.174162	[0.174162358045578]	2.920835	225.000000	0	0
40	34.000000	-0.500000	[-0.5]	2.920835	259.000000	0	0
41	0.000000	-0.500000	[-0.5]	2.920835	259.000000	0	0
42	0.000000	0.500000	[0.5]	2.920835	259.000000	0	0
43	0.000000	-0.357977	[-0.3579774498939514]	2.920835	259.000000	0	0
44	6.000000	0.028820	[0.028820455074310303]	2.920835	265.000000	0	0
45	0.000000	-0.500000	[-0.5]	2.920835	265.000000	0	0
46	0.000000	-0.273498	[-0.2734983563423157]	2.920835	265.000000	0	0
47	0.000000	0.500000	[0.5]	2.920835	265.000000	0	0
48	0.000000	0.371504	[0.37150394916534424]	2.920835	265.000000	0	0
49	0.000000	-0.500000	[-0.5]	2.920835	265.000000	0	0
50	0.000000	0.500000	[0.5]	2.920835	265.000000	0	0
51	0.000000	0.067064	[0.06706374883651733]	2.920835	265.000000	0	0
52	0.000000	0.500000	[0.5]	2.920835	265.000000	0	0
53	9.000000	-0.500000	[-0.5]	2.920835	274.000000	0	0
54	10.000000	0.500000	[0.5]	2.920835	284.000000	0	0
55	46.000000	0.343037	[0.34303706884384155]	2.920835	330.000000	0	0
56	0.000000	-0.493501	[-0.4935011863708496]	2.920835	330.000000	0	0
57	6.000000	-0.500000	[-0.5]	2.920835	336.000000	0	0
58	4.000000	0.362773	[0.36277255415916443]	2.920835	340.000000	0	0
59	6.000000	0.500000	[0.5]	2.920835	346.000000	0	0
60	0.000000	0.500000	[0.5]	2.920835	346.000000	0	0
61	15.000000	-0.500000	[-0.5]	2.920835	361.000000	0	0
62	108.000000	0.500000	[0.5]	2.920835	469.000000	0	0
63	9.000000	0.500000	[0.5]	2.920835	478.000000	0	0
64	0.000000	0.500000	[0.5]	2.920835	478.000000	0	0
65	36.000000	0.500000	[0.5]	2.920835	514.000000	0	0
66	15.000000	-0.500000	[-0.5]	2.920835	529.000000	0	0
67	0.000000	0.500000	[0.5]	2.920835	529.000000	0	0
68	0.000000	0.500000	[0.5]	2.920835	529.000000	0	0
69	25.000000	0.500000	[0.5]	2.920835	554.000000	0	0
70	4.000000	-0.500000	[-0.5]	2.920835	558.000000	0	0
71	0.000000	0.500000	[0.5]	2.920835	558.000000	0	0
72	10.000000	0.500000	[0.5]	2.920835	568.000000	0	0
73	0.000000	0.500000	[0.5]	2.920835	568.000000	0	0
74	0.000000	-0.500000	[-0.5]	2.920835	568.000000	0	0
75	131.000000	0.500000	[0.5]	2.920835	699.000000	0	0
76	0.000000	0.500000	[0.5]	2.920835	699.000000	0	0
77	0.000000	0.500000	[0.5]	2.920835	699.000000	0	0
78	0.000000	0.500000	[0.5]	2.920835	699.000000	0	0
79	6.000000	0.500000	[0.5]	2.920835	705.000000	0	0
80	0.000000	0.500000	[0.5]	2.920835	705.000000	0	0
81	0.000000	-0.500000	[-0.5]	2.920835	705.000000	0	0
82	10.000000	-0.340512	[-0.3405124545097351]	2.920835	715.000000	0	0
83	25.000000	0.500000	[0.5]	2.920835	740.000000	0	0
84	1.000000	0.500000	[0.5]	2.920835	741.000000	0	0
85	0.000000	-0.500000	[-0.5]	2.920835	741.000000	0	0
86	0.000000	0.500000	[0.5]	2.920835	741.000000	0	0
87	36.000000	-0.500000	[-0.5]	2.920835	777.000000	0	0
88	9.000000	0.500000	[0.5]	2.920835	786.000000	0	0
89	13.000000	0.500000	[0.5]	2.920835	799.000000	0	0
90	0.000000	-0.500000	[-0.5]	2.920835	799.000000	0	0
91	1.000000	0.500000	[0.5]	2.920835	800.000000	0	0
92	0.000000	-0.500000	[-0.5]	2.920835	800.000000	0	0
93	0.000000	0.500000	[0.5]	2.920835	800.000000	0	0
94	0.000000	0.500000	[0.5]	2.920835	800.000000	0	0
95	25.000000	0.500000	[0.5]	2.920835	825.000000	0	0
96	0.000000	0.500000	[0.5]	2.920835	825.000000	0	0
97	0.000000	-0.500000	[-0.5]	2.920835	825.000000	0	0
98	3.000000	0.500000	[0.5]	2.920835	828.000000	0	0
99	6.000000	0.452755	[0.4527546763420105]	2.920835	834.000000	0	0
